packet_id,event_index,event_type,raw_type,entity_id,apply_code,entity_status,entity_hash,global_hash
1,0,Snapshot,book,98022490269692409998126496127597032490334070080325855126491859374983463996227,Applied,Live,4193910584057576187,8524322779039155750
2,0,Heartbeat,PONG,,IgnoredHeartbeat,,0,0
3,0,Delta,price_change,98022490269692409998126496127597032490334070080325855126491859374983463996227,Applied,Live,2618982915884228453,14693703297086275716
4,0,Delta,price_change,98022490269692409998126496127597032490334070080325855126491859374983463996227,Applied,Live,4033572921181962846,9422908329158235007
5,0,Delta,price_change,98022490269692409998126496127597032490334070080325855126491859374983463996227,Applied,Live,16318717155023803750,13675439560042891852
6,0,Delta,price_change,98022490269692409998126496127597032490334070080325855126491859374983463996227,Applied,Live,17477276394791105090,2810260754348851349
7,0,Delta,price_change,98022490269692409998126496127597032490334070080325855126491859374983463996227,Applied,Live,9499451471871738722,12366081661030329210
8,0,Delta,price_change,98022490269692409998126496127597032490334070080325855126491859374983463996227,Applied,Live,13050790289195132850,3787862869302106731
9,0,Delta,price_change,98022490269692409998126496127597032490334070080325855126491859374983463996227,Applied,Live,17520754419629671166,4500778851360796770
10,0,Delta,price_change,98022490269692409998126496127597032490334070080325855126491859374983463996227,Applied,Live,15544010377794784576,6438186251154719654
11,0,Delta,price_change,98022490269692409998126496127597032490334070080325855126491859374983463996227,Applied,Live,6037465728659602089,15313508017133297937
12,0,Delta,price_change,98022490269692409998126496127597032490334070080325855126491859374983463996227,Applied,Live,339526883668958640,10250668712216228841
13,0,Delta,price_change,98022490269692409998126496127597032490334070080325855126491859374983463996227,Applied,Live,17958102971441784616,2385470457073067176
14,0,Delta,price_change,98022490269692409998126496127597032490334070080325855126491859374983463996227,Applied,Live,936889084569590464,7251241436027176338
15,0,Delta,price_change,98022490269692409998126496127597032490334070080325855126491859374983463996227,Applied,Live,10872244214047422512,14476923490275649988
16,0,Delta,price_change,98022490269692409998126496127597032490334070080325855126491859374983463996227,Applied,Live,9604006991648003175,8256255002574028420
17,0,Delta,price_change,98022490269692409998126496127597032490334070080325855126491859374983463996227,Applied,Live,5205676514747857569,1798999507688645240
18,0,Heartbeat,PONG,,IgnoredHeartbeat,,0,0
19,0,Delta,price_change,98022490269692409998126496127597032490334070080325855126491859374983463996227,Applied,Live,6712208749688160893,12919514411916950273
20,0,Delta,price_change,98022490269692409998126496127597032490334070080325855126491859374983463996227,Applied,Live,10711463815658876886,5877146751061275319
21,0,Delta,price_change,98022490269692409998126496127597032490334070080325855126491859374983463996227,Applied,Live,2285703288869243650,7978237286145435745
22,0,Delta,price_change,98022490269692409998126496127597032490334070080325855126491859374983463996227,Applied,Live,13643281217240891756,1567154493512711918
23,0,Delta,price_change,98022490269692409998126496127597032490334070080325855126491859374983463996227,Applied,Live,332465564240068969,18024533272188342340
24,0,Delta,price_change,98022490269692409998126496127597032490334070080325855126491859374983463996227,Applied,Live,4699776695684202720,5988278159508295044
25,0,Delta,price_change,98022490269692409998126496127597032490334070080325855126491859374983463996227,Applied,Live,12853543589496327611,8261227660752162782
26,0,Delta,price_change,98022490269692409998126496127597032490334070080325855126491859374983463996227,Applied,Live,15775069745316486731,15837043949607062683
27,0,Delta,price_change,98022490269692409998126496127597032490334070080325855126491859374983463996227,Applied,Live,10875188802504692582,18320917746793341461
28,0,Delta,price_change,98022490269692409998126496127597032490334070080325855126491859374983463996227,Applied,Live,13354599166789172943,13819800905844861086
29,0,Delta,price_change,98022490269692409998126496127597032490334070080325855126491859374983463996227,Applied,Live,8271460885616019428,3557330361474852320
30,0,Delta,price_change,98022490269692409998126496127597032490334070080325855126491859374983463996227,Applied,Live,16177295552056460281,3306718233639275072
31,0,Delta,price_change,98022490269692409998126496127597032490334070080325855126491859374983463996227,Applied,Live,7535457006158744998,11699821822231990035
32,0,Heartbeat,PONG,,IgnoredHeartbeat,,0,0
33,0,Delta,price_change,98022490269692409998126496127597032490334070080325855126491859374983463996227,Applied,Live,15094720324162883408,271303886296069082
34,0,Delta,price_change,98022490269692409998126496127597032490334070080325855126491859374983463996227,Applied,Live,4755910961341916060,4076403354541717672
35,0,Delta,price_change,98022490269692409998126496127597032490334070080325855126491859374983463996227,Applied,Live,224496756871040676,13111737826240576909
36,0,Delta,price_change,98022490269692409998126496127597032490334070080325855126491859374983463996227,Applied,Live,8706977361710160077,15113705006922262307
37,0,Delta,price_change,98022490269692409998126496127597032490334070080325855126491859374983463996227,Applied,Live,12139805509982566603,5226283003442580714
38,0,Delta,price_change,98022490269692409998126496127597032490334070080325855126491859374983463996227,Applied,Live,14948965321984194894,201247549324661501
39,0,Delta,price_change,98022490269692409998126496127597032490334070080325855126491859374983463996227,Applied,Live,9620268494949689079,12959912045291989833
